"1991.mtsummit-papers.7","A92-1029","1"
"2012.amta-papers.25","2011.freeopmt-1.5","0.333333"
"2011.freeopmt-1.5","W09-2607","0.333333"
"W09-2607","2011.freeopmt-1.5","0.333333"
"2011.freeopmt-1.5","W13-2816","0.333333"
"W13-2816","2011.freeopmt-1.5","0.333333"
"2012.amta-papers.25","W09-2607","0.333333"
"W09-2607","2012.amta-papers.25","0.333333"
"2012.amta-papers.25","W13-2816","1.33333"
"W13-2816","2012.amta-papers.25","1.33333"
"W09-2607","W13-2816","0.333333"
"W13-2816","W09-2607","0.333333"
"2012.amta-papers.25","2020.eamt-1.40","0.5"
"2020.eamt-1.40","2012.amta-papers.25","0.5"
"2020.eamt-1.40","W13-2816","0.5"
"W13-2816","2020.eamt-1.40","0.5"
"2012.amta-papers.25","bouillon-etal-2012-annotating","0.5"
"bouillon-etal-2012-annotating","2012.amta-papers.25","0.5"
"bouillon-etal-2012-annotating","W13-2816","0.5"
"W13-2816","bouillon-etal-2012-annotating","0.5"
"2013.mtsummit-wptp.6","2014.tc-1.8","1.41667"
"2014.tc-1.8","2013.mtsummit-wptp.6","1.41667"
"2013.mtsummit-wptp.6","cartoni-etal-2004-automatisation","0.166667"
"cartoni-etal-2004-automatisation","2013.mtsummit-wptp.6","0.166667"
"2013.mtsummit-wptp.6","seretan-etal-2014-large","0.166667"
"seretan-etal-2014-large","2013.mtsummit-wptp.6","0.166667"
"2013.mtsummit-wptp.6","vazquez-etal-2014-applying","0.166667"
"vazquez-etal-2014-applying","2013.mtsummit-wptp.6","0.166667"
"2013.mtsummit-wptp.6","W13-2816","1.16667"
"W13-2816","2013.mtsummit-wptp.6","1.16667"
"2013.mtsummit-wptp.6","W14-0310","0.166667"
"W14-0310","2013.mtsummit-wptp.6","0.166667"
"2014.tc-1.8","cartoni-etal-2004-automatisation","0.166667"
"cartoni-etal-2004-automatisation","2014.tc-1.8","0.166667"
"2014.tc-1.8","seretan-etal-2014-large","1.16667"
"seretan-etal-2014-large","2014.tc-1.8","1.16667"
"2014.tc-1.8","vazquez-etal-2014-applying","0.166667"
"vazquez-etal-2014-applying","2014.tc-1.8","0.166667"
"2014.tc-1.8","W13-2816","0.166667"
"W13-2816","2014.tc-1.8","0.166667"
"2014.tc-1.8","W14-0310","1.16667"
"W14-0310","2014.tc-1.8","1.16667"
"cartoni-etal-2004-automatisation","seretan-etal-2014-large","0.166667"
"seretan-etal-2014-large","cartoni-etal-2004-automatisation","0.166667"
"cartoni-etal-2004-automatisation","vazquez-etal-2014-applying","0.166667"
"vazquez-etal-2014-applying","cartoni-etal-2004-automatisation","0.166667"
"cartoni-etal-2004-automatisation","W13-2816","0.166667"
"W13-2816","cartoni-etal-2004-automatisation","0.166667"
"cartoni-etal-2004-automatisation","W14-0310","0.166667"
"W14-0310","cartoni-etal-2004-automatisation","0.166667"
"seretan-etal-2014-large","vazquez-etal-2014-applying","0.166667"
"vazquez-etal-2014-applying","seretan-etal-2014-large","0.166667"
"seretan-etal-2014-large","W13-2816","0.166667"
"W13-2816","seretan-etal-2014-large","0.166667"
"seretan-etal-2014-large","W14-0310","3.16667"
"W14-0310","seretan-etal-2014-large","3.16667"
"vazquez-etal-2014-applying","W13-2816","0.166667"
"W13-2816","vazquez-etal-2014-applying","0.166667"
"vazquez-etal-2014-applying","W14-0310","0.166667"
"W14-0310","vazquez-etal-2014-applying","0.166667"
"W13-2816","W14-0310","2.16667"
"W14-0310","W13-2816","2.16667"
"2013.mtsummit-wptp.6","2020.eamt-1.40","0.25"
"2020.eamt-1.40","2013.mtsummit-wptp.6","0.25"
"2013.mtsummit-wptp.6","W19-6734","0.25"
"W19-6734","2013.mtsummit-wptp.6","0.25"
"2013.mtsummit-wptp.6","W19-8709","0.25"
"W19-8709","2013.mtsummit-wptp.6","0.25"
"2014.tc-1.8","2020.eamt-1.40","0.25"
"2020.eamt-1.40","2014.tc-1.8","0.25"
"2014.tc-1.8","W19-6734","0.25"
"W19-6734","2014.tc-1.8","0.25"
"2014.tc-1.8","W19-8709","0.25"
"W19-8709","2014.tc-1.8","0.25"
"2020.eamt-1.40","W19-6734","1.08333"
"W19-6734","2020.eamt-1.40","1.08333"
"2020.eamt-1.40","W19-8709","0.583333"
"W19-8709","2020.eamt-1.40","0.583333"
"W19-6734","W19-8709","0.583333"
"W19-8709","W19-6734","0.583333"
"2014.lilt-10.2","2014.tc-1.24","1"
"2014.tc-1.24","2014.lilt-10.2","1"
"2014.lilt-10.2","rayner-etal-2012-evaluating","1.5"
"rayner-etal-2012-evaluating","2014.lilt-10.2","1.5"
"2014.lilt-10.2","rayner-etal-2010-multilingual","0.5"
"rayner-etal-2010-multilingual","2014.lilt-10.2","0.5"
"rayner-etal-2010-multilingual","rayner-etal-2012-evaluating","0.5"
"rayner-etal-2012-evaluating","rayner-etal-2010-multilingual","0.5"
"2020.eamt-1.30","2020.eamt-1.40","0.5"
"2020.eamt-1.40","2020.eamt-1.30","0.5"
"2020.eamt-1.30","W19-6734","1.5"
"W19-6734","2020.eamt-1.30","1.5"
"2020.eamt-1.30","2021.nlp4posimpact-1.15","1"
"2021.nlp4posimpact-1.15","2020.eamt-1.30","1"
"2020.eamt-1.40","W09-2607","0.333333"
"W09-2607","2020.eamt-1.40","0.333333"
"W09-2607","W19-6734","0.333333"
"W19-6734","W09-2607","0.333333"
"W09-2607","W19-8709","0.333333"
"W19-8709","W09-2607","0.333333"
"bouillon-etal-2002-acquisition","W00-0742","1"
"W00-0742","bouillon-etal-2002-acquisition","1"
"C94-2112","W94-0311","1"
"W94-0311","C94-2112","1"
"C96-1026","W94-0311","1"
"W94-0311","C96-1026","1"
