"C08-3006","2020.iwslt-1.21","0.04"
"2020.iwslt-1.21","C14-1106","0.04"
"C14-1106","2020.iwslt-1.21","0.04"
"2020.iwslt-1.21","D15-1250","0.04"
"D15-1250","2020.iwslt-1.21","0.04"
"2020.iwslt-1.21","D16-1162","0.682857"
"D16-1162","2020.iwslt-1.21","0.682857"
"2020.iwslt-1.21","N09-2056","0.04"
"N09-2056","2020.iwslt-1.21","0.04"
"2020.iwslt-1.21","N16-1003","0.04"
"N16-1003","2020.iwslt-1.21","0.04"
"2020.iwslt-1.21","P14-2090","0.04"
"P14-2090","2020.iwslt-1.21","0.04"
"2020.iwslt-1.21","P15-1020","0.04"
"P15-1020","2020.iwslt-1.21","0.04"
"2020.iwslt-1.21","P15-2094","0.04"
"P15-2094","2020.iwslt-1.21","0.04"
"2020.iwslt-1.21","P17-1079","0.349524"
"P17-1079","2020.iwslt-1.21","0.349524"
"2020.iwslt-1.21","W13-4604","0.04"
"W13-4604","2020.iwslt-1.21","0.04"
"2020.iwslt-1.21","W14-4004","0.04"
"W14-4004","2020.iwslt-1.21","0.04"
"2020.iwslt-1.21","W15-3057","0.04"
"W15-3057","2020.iwslt-1.21","0.04"
"2020.iwslt-1.21","W15-5003","0.182857"
"W15-5003","2020.iwslt-1.21","0.182857"
"2020.iwslt-1.21","W17-3208","0.04"
"W17-3208","2020.iwslt-1.21","0.04"
"2020.iwslt-1.21","W17-4709","0.54"
"W17-4709","2020.iwslt-1.21","0.54"
"2020.iwslt-1.21","W17-5712","0.04"
"W17-5712","2020.iwslt-1.21","0.04"
"2020.iwslt-1.21","W18-2711","0.682857"
"W18-2711","2020.iwslt-1.21","0.682857"
"2020.iwslt-1.21","W19-4106","0.182857"
"W19-4106","2020.iwslt-1.21","0.182857"
"2021.humeval-1.5","2021.iwslt-1.27","0.04"
"2021.iwslt-1.27","2021.humeval-1.5","0.04"
"2021.humeval-1.5","C08-3006","0.04"
"C08-3006","2021.humeval-1.5","0.04"
"2021.humeval-1.5","C14-1106","0.04"
"C14-1106","2021.humeval-1.5","0.04"
"2021.humeval-1.5","D15-1250","0.04"
"D15-1250","2021.humeval-1.5","0.04"
"2021.humeval-1.5","D16-1162","0.04"
"D16-1162","2021.humeval-1.5","0.04"
"2021.humeval-1.5","N09-2056","0.04"
"N09-2056","2021.humeval-1.5","0.04"
"2021.humeval-1.5","N16-1003","0.04"
"N16-1003","2021.humeval-1.5","0.04"
"2021.humeval-1.5","P14-2090","0.04"
"P14-2090","2021.humeval-1.5","0.04"
"2021.humeval-1.5","P15-1020","0.04"
"P15-1020","2021.humeval-1.5","0.04"
"2021.humeval-1.5","P15-2094","0.04"
"P15-2094","2021.humeval-1.5","0.04"
"2021.humeval-1.5","P17-1079","0.04"
