"2020.lrec-1.606","W19-2101","9"
"N19-1060","N19-1211","0.416667"
"N19-1211","N19-1060","0.416667"
"N19-1211","W17-1101","0.166667"
"W17-1101","N19-1211","0.166667"
"2021.eacl-main.28","wiegand-etal-2012-gold","0.25"
"wiegand-etal-2012-gold","2021.eacl-main.28","0.25"
"E12-1033","wiegand-etal-2012-gold","0.25"
"wiegand-etal-2012-gold","E12-1033","0.25"
"I13-1003","wiegand-etal-2012-gold","0.25"
"wiegand-etal-2012-gold","I13-1003","0.25"
"N16-1094","wiegand-etal-2012-gold","0.5"
"wiegand-etal-2012-gold","N16-1094","0.5"
"I17-1063","N19-1211","0.666667"
"N19-1211","I17-1063","0.666667"
"K15-1022","N19-1211","0.366667"
"N19-1211","K15-1022","0.366667"
"N16-1092","N19-1211","0.166667"
"N19-1211","N16-1092","0.166667"
"N16-1094","N19-1211","0.366667"
"N19-1211","N16-1094","0.366667"
"2021.eacl-main.28","C18-1213","0.333333"
"C18-1213","2021.eacl-main.28","0.333333"
"C18-1213","W09-4628","0.333333"
"W09-4628","C18-1213","0.333333"
"C18-1213","wiegand-klakow-2010-predictive","0.333333"
"wiegand-klakow-2010-predictive","C18-1213","0.333333"
"2021.naacl-main.48","C18-1213","0.5"
"C18-1213","2021.naacl-main.48","0.5"
"C18-1213","W17-1101","0.5"
"W17-1101","C18-1213","0.5"
"C14-1216","I13-1003","1"
"I13-1003","C14-1216","1"
"C14-1216","wiegand-etal-2012-gold","1"
"wiegand-etal-2012-gold","C14-1216","1"
"C14-1216","C18-1325","0.166667"
"C18-1325","C14-1216","0.166667"
"C14-1216","E14-1071","0.666667"
"E14-1071","C14-1216","0.666667"
"C14-1216","N16-1094","0.166667"
"N16-1094","C14-1216","0.166667"
"C14-1216","W13-1108","1.36667"
"W13-1108","C14-1216","1.36667"
"C18-1213","C18-1325","0.366667"
"C18-1325","C18-1213","0.366667"
"C18-1213","E14-1071","0.166667"
"E14-1071","C18-1213","0.166667"
"C18-1213","N16-1094","0.366667"
"N16-1094","C18-1213","0.366667"
"C18-1213","W13-1108","0.166667"
"W13-1108","C18-1213","0.166667"
"C18-1325","E14-1071","0.166667"
"E14-1071","C18-1325","0.166667"
"C18-1325","K15-1022","0.366667"
"K15-1022","C18-1325","0.366667"
"C18-1325","N16-1094","0.366667"
"N16-1094","C18-1325","0.366667"
"C18-1325","W13-1108","0.166667"
"W13-1108","C18-1325","0.166667"
"E14-1071","K15-1022","1.5"
"K15-1022","E14-1071","1.5"
"E14-1071","N16-1094","1"
"N16-1094","E14-1071","1"
"E14-1071","W13-1108","1.16667"
"W13-1108","E14-1071","1.16667"
"C14-1216","N13-1059","0.2"
"N13-1059","C14-1216","0.2"
"C18-1213","N19-1211","0.7"
"N19-1211","C18-1213","0.7"
"C18-1325","N19-1211","0.2"
"N19-1211","C18-1325","0.2"
"C18-1325","ruppenhofer-etal-2017-evaluating","3.45"
"ruppenhofer-etal-2017-evaluating","C18-1325","3.45"
"K15-1022","ruppenhofer-etal-2017-evaluating","0.2"
"ruppenhofer-etal-2017-evaluating","K15-1022","0.2"
"N16-1094","ruppenhofer-etal-2017-evaluating","0.2"
"ruppenhofer-etal-2017-evaluating","N16-1094","0.2"
"N19-1211","ruppenhofer-etal-2017-evaluating","0.2"
"ruppenhofer-etal-2017-evaluating","N19-1211","0.2"
"C18-1213","W10-3111","0.833333"
"W10-3111","C18-1213","0.833333"
"C18-1325","W10-3111","0.5"
"W10-3111","C18-1325","0.5"
"ruppenhofer-etal-2017-evaluating","W10-3111","0.5"
"W10-3111","ruppenhofer-etal-2017-evaluating","0.5"
"C18-1325","E12-1033","0.25"
"E12-1033","C18-1325","0.25"
"C18-1325","N13-1059","0.25"
"N13-1059","C18-1325","0.25"
"C18-1325","wiegand-klakow-2010-predictive","0.25"
"wiegand-klakow-2010-predictive","C18-1325","0.25"
"E12-1033","ruppenhofer-etal-2017-evaluating","0.25"
"ruppenhofer-etal-2017-evaluating","E12-1033","0.25"
"N13-1059","ruppenhofer-etal-2017-evaluating","0.25"
"ruppenhofer-etal-2017-evaluating","N13-1059","0.25"
"ruppenhofer-etal-2017-evaluating","wiegand-klakow-2010-predictive","0.25"
"wiegand-klakow-2010-predictive","ruppenhofer-etal-2017-evaluating","0.25"
"C18-1325","N18-1095","0.5"
"N18-1095","C18-1325","0.5"
"N18-1095","ruppenhofer-etal-2017-evaluating","1"
"ruppenhofer-etal-2017-evaluating","N18-1095","1"
"E12-1033","E14-1071","0.45"
"E14-1071","E12-1033","0.45"
"E12-1033","W17-1101","0.2"
"W17-1101","E12-1033","0.2"
"E14-1071","L18-1097","0.45"
"L18-1097","E14-1071","0.45"
"E14-1071","R11-1039","0.45"
"R11-1039","E14-1071","0.45"
"E14-1071","W11-4635","0.45"
"W11-4635","E14-1071","0.45"
"E14-1071","W17-1101","0.2"
"W17-1101","E14-1071","0.2"
"L18-1097","W17-1101","0.2"
"W17-1101","L18-1097","0.2"
"R11-1039","W17-1101","0.2"
"W17-1101","R11-1039","0.2"
"W11-4635","W17-1101","0.2"
"W17-1101","W11-4635","0.2"
"E14-1071","W15-2921","1"
"W15-2921","E14-1071","1"
"E14-1071","wiegand-etal-2012-gold","1"
"wiegand-etal-2012-gold","E14-1071","1"
"E14-1071","N16-1092","0.333333"
"N16-1092","E14-1071","0.333333"
"E14-1071","I13-1003","1"
"I13-1003","E14-1071","1"
"K15-1022","wiegand-etal-2012-gold","0.25"
"wiegand-etal-2012-gold","K15-1022","0.25"
"W11-4635","wiegand-etal-2012-gold","0.25"
"wiegand-etal-2012-gold","W11-4635","0.25"
"W15-2921","wiegand-etal-2012-gold","0.25"
"wiegand-etal-2012-gold","W15-2921","0.25"
"R15-1071","ruppenhofer-etal-2017-evaluating","0.5"
"ruppenhofer-etal-2017-evaluating","R15-1071","0.5"
