"2020.acl-main.338","P19-1345","2"
"D15-1187","D16-1078","0.833333"
"D16-1078","D15-1187","0.833333"
"C10-1076","P15-1064","0.833333"
"P15-1064","C10-1076","0.833333"
"D16-1078","P15-1064","1.33333"
"P15-1064","D16-1078","1.33333"
"C10-1076","D10-1070","0.5"
"D10-1070","C10-1076","0.5"
"C10-1076","P10-1113","0.5"
"P10-1113","C10-1076","0.5"
"D10-1070","P10-1113","0.5"
"P10-1113","D10-1070","0.5"
"C10-1076","D13-1099","1.33333"
"D13-1099","C10-1076","1.33333"
"C10-1076","P14-1049","2"
"P14-1049","C10-1076","2"
"C10-1076","D09-1103","1"
"D09-1103","C10-1076","1"
"D13-1099","D16-1078","1.16667"
"D16-1078","D13-1099","1.16667"
"D13-1099","P15-1064","1.83333"
"P15-1064","D13-1099","1.83333"
"C10-2087","P11-1113","3"
"P11-1113","C10-2087","3"
"C12-1099","P13-1145","0.833333"
"P13-1145","C12-1099","0.833333"
"P11-1113","P13-1145","2.33333"
"P13-1145","P11-1113","2.33333"
"D12-1092","P13-1145","1.83333"
"P13-1145","D12-1092","1.83333"
"C14-1050","C16-1153","1"
"C16-1153","C14-1050","1"
"C16-1197","C16-1199","1"
"C16-1199","C16-1197","1"
"C16-1249","P13-2091","2"
"P13-2091","C16-1249","2"
"C18-1037","P14-2136","1"
"P14-2136","C18-1037","1"
"C18-1037","P14-1055","1.5"
"P14-1055","C18-1037","1.5"
"C18-1037","D12-1092","0.5"
"D12-1092","C18-1037","0.5"
"D12-1092","P14-1055","0.5"
"P14-1055","D12-1092","0.5"
"C18-1045","D14-1224","1"
"D14-1224","C18-1045","1"
"C18-1050","D19-1168","4"
"D19-1168","C18-1050","4"
"C18-1050","D11-1084","4.5"
"D11-1084","C18-1050","4.5"
"C18-1050","W15-2504","0.5"
"W15-2504","C18-1050","0.5"
"D11-1084","W15-2504","0.5"
"W15-2504","D11-1084","0.5"
"C18-1215","D18-1401","1"
"D18-1401","C18-1215","1"
"C98-2234","P98-2239","4"
"P98-2239","C98-2234","4"
"D07-1076","Y07-1043","0.333333"
"Y07-1043","D07-1076","0.333333"
"P05-1053","Y07-1043","1.33333"
"Y07-1043","P05-1053","1.33333"
"P06-1104","Y07-1043","0.333333"
"Y07-1043","P06-1104","0.333333"
"P03-1023","P05-1053","0.583333"
"P05-1053","P03-1023","0.583333"
"I05-1034","P03-1023","0.25"
"P03-1023","I05-1034","0.25"
"D09-1102","P09-1007","0.5"
"P09-1007","D09-1102","0.5"
"D09-1102","P13-2091","0.5"
"P13-2091","D09-1102","0.5"
"P09-1007","P13-2091","0.5"
"P13-2091","P09-1007","0.5"
"D09-1133","W09-1208","1.5"
"W09-1208","D09-1133","1.5"
"D09-1133","P09-1007","0.5"
"P09-1007","D09-1133","0.5"
"P09-1007","W09-1208","1.83333"
"W09-1208","P09-1007","1.83333"
"D10-1070","D13-1099","1"
"D13-1099","D10-1070","1"
"D10-1086","D14-1224","1"
"D14-1224","D10-1086","1"
"D10-1086","D19-1168","1"
"D19-1168","D10-1086","1"
"D11-1084","D19-1168","2"
"D19-1168","D11-1084","2"
"D11-1084","D12-1026","4"
"D12-1026","D11-1084","4"
"D12-1092","D14-1008","0.666667"
"D14-1008","D12-1092","0.666667"
"D12-1092","D14-1224","0.666667"
"D14-1224","D12-1092","0.666667"
"D12-1092","K15-2004","0.666667"
"K15-2004","D12-1092","0.666667"
"D14-1008","D14-1224","1.66667"
"D14-1224","D14-1008","1.66667"
"D14-1008","K15-2004","2"
"K15-2004","D14-1008","2"
"D14-1224","K15-2004","0.666667"
"K15-2004","D14-1224","0.666667"
"D12-1092","P14-2136","1"
"P14-2136","D12-1092","1"
"D13-1099","D15-1187","0.333333"
"D15-1187","D13-1099","0.333333"
"D13-1099","P14-1049","0.333333"
"P14-1049","D13-1099","0.333333"
"D15-1187","P14-1049","0.833333"
"P14-1049","D15-1187","0.833333"
"D16-1078","P14-1049","0.333333"
"P14-1049","D16-1078","0.333333"
"D14-1008","P09-1007","0.333333"
"P09-1007","D14-1008","0.333333"
"D14-1008","W09-1208","0.333333"
"W09-1208","D14-1008","0.333333"
"K15-2004","P09-1007","0.333333"
"P09-1007","K15-2004","0.333333"
"K15-2004","W09-1208","0.333333"
"W09-1208","K15-2004","0.333333"
"D14-1224","P10-1113","1"
"P10-1113","D14-1224","1"
"D14-1224","P14-1049","3"
"P14-1049","D14-1224","3"
"D14-1224","D18-1079","1"
"D18-1079","D14-1224","1"
"D15-1187","D19-1230","0.5"
"D19-1230","D15-1187","0.5"
"D19-1230","P14-1049","0.5"
"P14-1049","D19-1230","0.5"
"D19-1548","P17-1064","1"
"P17-1064","D19-1548","1"
"D19-1552","P15-1101","0.5"
"P15-1101","D19-1552","0.5"
"D19-1552","P19-1045","0.5"
"P19-1045","D19-1552","0.5"
"P15-1101","P19-1045","0.5"
"P19-1045","P15-1101","0.5"
"D19-1560","P10-1043","0.5"
"P10-1043","D19-1560","0.5"
"D19-1560","P19-1345","0.5"
"P19-1345","D19-1560","0.5"
"P10-1043","P19-1345","0.5"
"P19-1345","P10-1043","0.5"
"P06-1016","P06-1104","1.83333"
"P06-1104","P06-1016","1.83333"
"I05-1034","P02-1060","0.5"
"P02-1060","I05-1034","0.5"
"P02-1060","P05-1053","2.5"
"P05-1053","P02-1060","2.5"
"I08-1004","W00-1309","0.333333"
"W00-1309","I08-1004","0.333333"
"P03-1023","W00-1309","0.333333"
"W00-1309","P03-1023","0.333333"
"K15-2004","K16-2009","0.5"
"K16-2009","K15-2004","0.5"
"K15-2004","K16-2011","0.5"
"K16-2011","K15-2004","0.5"
"K16-2009","K16-2011","0.5"
"K16-2011","K16-2009","0.5"
"P02-1060","W03-1307","4.5"
"W03-1307","P02-1060","4.5"
"P02-1060","P04-1075","1"
"P04-1075","P02-1060","1"
"P02-1060","W00-0737","0.5"
"W00-0737","P02-1060","0.5"
"P03-1023","W00-0737","0.5"
"W00-0737","P03-1023","0.5"
"P02-1060","W04-1201","0.5"
"W04-1201","P02-1060","0.5"
"W03-1307","W04-1201","0.5"
"W04-1201","W03-1307","0.5"
"P03-1023","P04-1017","1"
"P04-1017","P03-1023","1"
"P04-1075","P14-1055","1"
"P14-1055","P04-1075","1"
"P05-1053","P14-1055","1"
"P14-1055","P05-1053","1"
"P06-1104","P07-1026","2"
"P07-1026","P06-1104","2"
"P10-1043","P15-2005","1"
"P15-2005","P10-1043","1"
"P10-1113","W03-1711","1"
"W03-1711","P10-1113","1"
"P10-1113","W09-1208","1"
"W09-1208","P10-1113","1"
"P11-1113","P18-1048","3"
"P18-1048","P11-1113","3"
"P11-1113","P14-2136","2"
"P14-2136","P11-1113","2"
"P13-2091","P15-1101","2"
"P15-1101","P13-2091","2"
"P13-2091","P15-2125","1"
"P15-2125","P13-2091","1"
"P15-1101","P15-2125","2"
"P15-2125","P15-1101","2"
"P14-1049","P15-1064","0.5"
"P15-1064","P14-1049","0.5"
"P14-1049","W10-3013","0.5"
"W10-3013","P14-1049","0.5"
"P15-1064","W10-3013","0.5"
"W10-3013","P15-1064","0.5"
"W00-0737","W00-1309","2"
"W00-1309","W00-0737","2"
"W03-1307","W04-1219","3"
"W04-1219","W03-1307","3"
