"1995.tmi-1.13","C96-1075","1"
"P98-2221","C98-2216","10.7"
"C98-2216","Q19-1020","0.2"
"Q19-1020","C98-2216","0.2"
"D17-1145","P19-1115","3.2"
"P19-1115","D17-1145","3.2"
"D17-1145","P98-2221","0.2"
"P98-2221","D17-1145","0.2"
"D17-1145","Q19-1020","2.2"
"Q19-1020","D17-1145","2.2"
"P19-1115","P98-2221","0.2"
"P98-2221","P19-1115","0.2"
"P19-1115","Q19-1020","0.2"
"Q19-1020","P19-1115","0.2"
"P98-2221","Q19-1020","0.2"
"Q19-1020","P98-2221","0.2"
"C96-1075","W94-0113","2"
"W94-0113","C96-1075","2"
"C98-1072","P98-1075","2"
"P98-1075","C98-1072","2"
"C98-2216","P97-1047","2.5"
"P97-1047","C98-2216","2.5"
"P97-1047","P98-2221","2.5"
"P98-2221","P97-1047","2.5"
"cho-etal-2014-corpus","Q19-1020","1"
"Q19-1020","cho-etal-2014-corpus","1"
"E14-4009","stuker-etal-2012-kit","0.5"
"stuker-etal-2012-kit","E14-4009","0.5"
"stuker-etal-2012-kit","W11-2124","0.5"
"W11-2124","stuker-etal-2012-kit","0.5"
"eck-etal-2004-language","N09-2038","1"
"N09-2038","eck-etal-2004-language","1"
"H01-1003","woszczcyna-etal-1998-modular","1"
"woszczcyna-etal-1998-modular","H01-1003","1"
"H01-1007","woszczcyna-etal-1998-modular","1"
"woszczcyna-etal-1998-modular","H01-1007","1"
"herrmann-etal-2014-manual","W14-3310","1"
"W14-3310","herrmann-etal-2014-manual","1"
"N03-4015","N04-3010","1"
"N04-3010","N03-4015","1"
"N04-1036","W03-1502","3"
"W03-1502","N04-1036","3"
"N04-3010","zhang-etal-2004-interpreting","2"
"zhang-etal-2004-interpreting","N04-3010","2"
"N07-2006","P03-1041","1"
"P03-1041","N07-2006","1"
"P03-1041","W03-1502","1"
"W03-1502","P03-1041","1"
"P03-1041","P97-1047","1"
"P97-1047","P03-1041","1"
"P03-1041","W04-3227","1"
"W04-3227","P03-1041","1"
"Q19-1020","stuker-etal-2012-kit","1"
"stuker-etal-2012-kit","Q19-1020","1"
"stuker-etal-2012-kit","W13-0805","1"
"W13-0805","stuker-etal-2012-kit","1"
"W03-1502","zhang-etal-2004-interpreting","2"
"zhang-etal-2004-interpreting","W03-1502","2"
"W09-0413","W10-1719","0.5"
"W10-1719","W09-0413","0.5"
"W09-0413","W11-2145","0.5"
"W11-2145","W09-0413","0.5"
"W10-1719","W11-2142","0.5"
"W11-2142","W10-1719","0.5"
"W11-2142","W11-2145","0.5"
"W11-2145","W11-2142","0.5"
"W11-2145","W12-3140","0.5"
"W12-3140","W11-2145","0.5"
"W11-2145","W12-3144","0.5"
"W12-3144","W11-2145","0.5"
"W12-3140","W12-3144","0.5"
"W12-3144","W12-3140","0.5"
"W12-3140","W14-3310","0.5"
"W14-3310","W12-3140","0.5"
"W13-2223","W14-3310","0.5"
"W14-3310","W13-2223","0.5"
"W13-0805","W16-2320","1"
"W16-2320","W13-0805","1"
"W14-3307","W14-3310","0.5"
"W14-3310","W14-3307","0.5"
"W14-3307","W14-3313","0.5"
"W14-3313","W14-3307","0.5"
"W14-3310","W14-3313","0.5"
"W14-3313","W14-3310","0.5"
"W15-3008","W15-3012","1"
"W15-3012","W15-3008","1"
